Owner,Address,City,State,ZIPCODE,Country,Coordinates,Type of Plant,Gas Source,Plant Capacity,SA/DA,Emissions,Year Built
Veolia,3460 Highway 44,Darrow,Louisiana,70725,USA,"30º 7' 31"" N, 90º 54' 43"" W",Acid Regeneration,Alkylation Waste Acid ,1635 MTPD,DA,,1967
Veolia,11215 Brower Road,North Bend ,Ohio,45052,USA,"39° 6' 56"" N, 84° 48' 42"" W",Sulfur Burner,Elemental Sulfur,300 STPD,SA,,
Veolia,766 Governor Lea Road,Delaware City ,Delaware,19706,USA,"39° 35' 33"" N, 75° 38' 16"" W",Acid Regeneration,Alkylation Waste Acid/Hydrogen Sulphide,500 MTPD,3/1 DA,,2005
Veolia,HC-66 400 Harris Road ,Wurtland,Kentucky,,USA,"38° 33' 20"" N, 82° 47' 21"" W",Sulfur Burner,Elemental Sulfur,"260,000 STPA",SA,,1961
Veolia,1201 Bellwood Road,Richmond,Virginia,23237,USA,"37° 25' 1"" N, 77° 24' 32"" W",Sulfur Burner,Elemental Sulfur,300 STPD,,,1947
Veolia,6500 Trowbridge Drive ,El Paso,Texas,79905,USA,"31° 45' 56"" N, 106° 23' 45"" W",Acid Regeneration,Alkylation Waste Acid/Hydrogen Sulphide,,3/1 DA,,2008
Veolia,6500 Trowbridge Drive ,El Paso,Texas,79905,USA,"31° 45' 55"" N, 106° 23' 43"" W",Acid Regeneration,Alkylation Waste Acid/Hydrogen Sulphide,,3/1 DA,,2008
Wisconsin Public Service Corporation,,Wausau,Wisconsin,,USA,"44° 51' 30"" N 89° 38' 58"" W",Metallurgical,Thermal Regeneration ,50 MTPD,SA,,2016
Irving Oil Limited - Plant 1,,Saint John,New Brunswick,,Canada,"45° 16' 45"" N, 66° 0' 53"" W",Acid Regeneration,Alkylation Waste Acid/Hydrogen Sulphide,278 MTPD,SA,,
Irving Oil Limited - Plant 2,,Saint John,New Brunswick,,Canada,"45° 16' 45"" N, 66° 0' 53"" W",Acid Regeneration,Claus Tail Gas,29.2 MTPD,SA,,
INEOS,375 Hallnor Road,Porcupine Timmins,Ontario,,Canada,"48° 30' 31"" N, 81° 8' 30"" W",Liquid So2,Elemental Sulfur,"40,000 TPA",,,2017
Glencore - Smelter Acid Plant,PO Bag 2002 #10050 Highway 101 East,Timmins,Ontario,P4N 7K1,Canada,"48º 33' 7"" N, 81º 4' 52"" W",Metallurgical,Copper,1692 MTPD,3/1 DA,,1981
Glencore - Horne Smelter,,Rouyn-Noranda ,Quebec,,Canada,"48º 15' 6"" N, 79º 1' 10"" W",Metallurgical,"Copper, Electronic Scrap",2050 MTPD,3 SA,,1989
Glencore - Brunswick Smelter,,Belledune,New Brunswick,E0B 1G0,Canada,"47º 53' 56"" N, 65º 50' 6"" W",Metallurgical,Lead Sinter Machine,540 MTPD,3 SA,,1966
Vale  ,337 Power Street,Copper Cliff,Ontario,P0M 1N0,Canada,"46º 28' 36"" N, 81º 3' 8"" W",Metallurgical,Nickel and Copper,3200 MTPD,3/1 DA,,1991
Glencore - Falconbridge,Longyear Drive,Falconbridge,Ontario,P0M 1S0,Canada,"46º 34' 43"" N, 80º 48' 7"" W",Metallurgical,Nickel Roaster,1168 MTPD ,4 SA,,1978
SaskPower ,Boundary Dam Power Station,Estevan,Saskatchewan,,Canada,"49° 5' 47"" N, 103° 2' 1"" W",Metallurgical,So2 from Cansolv unit,60 MTPD,2 SA,,2013
Glencore - Roaster Acid Plant,PO Bag 2002 #10050 Highway 101 East,Timmins,Ontario,P4N 7K1,Canada,"48º 32' 53"" N, 81º 4' 59"" W",Metallurgical,Zinc,408 MTPD,4 SA,,1972
Glencore Canada - CEZinc - Plant 1,860 Boulevard Cadieu,Salaberry-de-Valleyfield,Quebec,J6S 4W2,Canada,"45º 13' 38"" N, 74º 5' 45"" W",Metallurgical,Zinc,360 MTPD,SA,,1963
Glencore Canada - CEZinc - Plant 2,860 Boulevard Cadieu,Salaberry-de-Valleyfield,Quebec,J6S 4W2,Canada,"45º 13' 37"" N, 74º 5' 43"" W",Metallurgical,Zinc,450 MTPD,SA,,1973
